shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
40520001,42.404411,-71.076996,20030,
40520001,42.404288,-71.076998,20031,
40520001,42.404159,-71.077001,20032,
40520001,42.403722,-71.077045,20033,
40520001,42.402716,-71.077092,20034,
40520001,42.402646,-71.077100,20035,
40520001,42.402447,-71.077121,20036,
40520001,42.401722,-71.077151,20037,
40520001,42.401672,-71.077153,20038,
40520001,42.401672,-71.077153,30001,
40520001,42.400793,-71.077191,30002,
40520001,42.400432,-71.077209,30003,
40520001,42.400069,-71.077209,30004,
40520001,42.399364,-71.077232,30005,
40520001,42.398849,-71.077236,30006,
40520001,42.398491,-71.077262,30007,
40520001,42.397769,-71.077266,30008,
40520001,42.396978,-71.077280,30009,
40520001,42.394309,-71.077294,30010,
40520001,42.393336,-71.077273,30011,
40520001,42.392659,-71.077216,30012,
40520001,42.392659,-71.077216,40001,
40520001,42.392354,-71.077191,40002,
40520001,42.391317,-71.077086,40003,
40520001,42.390653,-71.077048,40004,
40520001,42.389980,-71.077044,40005,
40520001,42.389523,-71.077050,40006,
40520001,42.388473,-71.077017,40007,
40520001,42.387963,-71.076995,40008,
40520001,42.387402,-71.076947,40009,
40520001,42.386970,-71.076938,40010,
40520001,42.386457,-71.076925,40011,
40520001,42.386303,-71.076923,40012,
40520001,42.386191,-71.076929,40013,
40520001,42.385786,-71.076923,40014,
40520001,42.385596,-71.076927,40015,
40520001,42.385274,-71.076927,40016,
40520001,42.385151,-71.076919,40017,
40520001,42.384489,-71.076918,40018,
40520001,42.384131,-71.076943,40019,
40520001,42.383673,-71.076967,40020,
40520001,42.383673,-71.076967,50001,
40520001,42.383106,-71.076998,50002,
40520001,42.383007,-71.077001,50003,
40520001,42.382872,-71.077006,50004,
40520001,42.382587,-71.077017,50005,
40520001,42.381775,-71.076955,50006,
40520001,42.380549,-71.076935,50007,
40520001,42.380307,-71.076932,50008,
40520001,42.380169,-71.076908,50009,
40520001,42.379995,-71.076868,50010,
40520001,42.379743,-71.076783,50011,
40520001,42.379593,-71.076710,50012,
40520001,42.379536,-71.076679,50013,
40520001,42.379358,-71.076605,50014,
40520001,42.378895,-71.076313,50015,
40520001,42.376996,-71.074680,50016,
40520001,42.376445,-71.074194,50017,
40520001,42.375918,-71.073634,50018,
40520001,42.375461,-71.073003,50019,
40520001,42.375065,-71.072442,50020,
40520001,42.374488,-71.071477,50021,
40520001,42.374366,-71.071204,50022,
40520001,42.374109,-71.070642,50023,
40520001,42.373666,-71.069631,50024,
40520001,42.373666,-71.069631,60001,
40520001,42.373642,-71.069578,60002,
40520001,42.373453,-71.069084,60003,
40520001,42.372677,-71.067739,60004,
40520001,42.371310,-71.065748,60005,
40520001,42.371298,-71.065725,60006,
40520001,42.365832,-71.060531,60007,
40520001,42.365739,-71.060451,60008,
40520001,42.365739,-71.060451,70001,
40520001,42.364186,-71.059114,70002,
40520001,42.363533,-71.058364,70003,
40520001,42.363321,-71.058165,70004,
40520001,42.363141,-71.058044,70005,
40520001,42.363141,-71.058044,80001,
40520001,42.363140,-71.058043,80002,
40520001,42.362969,-71.057940,80003,
40520001,42.362708,-71.057892,80004,
40520001,42.360395,-71.057691,80005,
40520001,42.358975,-71.057708,80006,
40520001,42.358975,-71.057708,90001,
40520001,42.358872,-71.057710,90002,
40520001,42.358110,-71.057709,90003,
40520001,42.358026,-71.057719,90004,
40520001,42.357914,-71.057795,90005,
40520001,42.356942,-71.058665,90006,
40520001,42.356503,-71.059266,90007,
40520001,42.355996,-71.059847,90008,
40520001,42.355572,-71.060326,90009,
40520001,42.355572,-71.060326,100001,
40520001,42.355565,-71.060333,100002,
40520001,42.355291,-71.060598,100003,
40520001,42.354920,-71.061027,100004,
40520001,42.354067,-71.061850,100005,
40520001,42.353888,-71.062045,100006,
40520001,42.353618,-71.062304,100007,
40520001,42.353504,-71.062363,100008,
40520001,42.353281,-71.062439,100009,
40520001,42.353068,-71.062446,100010,
40520001,42.352830,-71.062467,100011,
40520001,42.352533,-71.062512,100012,
40520001,42.352533,-71.062512,110001,
40520001,42.352431,-71.062528,110002,
40520001,42.351596,-71.062699,110003,
40520001,42.350966,-71.062858,110004,
40520001,42.350838,-71.062918,110005,
40520001,42.350737,-71.062986,110006,
40520001,42.350443,-71.063318,110007,
40520001,42.349826,-71.063918,110008,
40520001,42.349517,-71.063997,110009,
40520001,42.349517,-71.063997,120001,
40520001,42.349072,-71.064112,120002,
40520001,42.348989,-71.064201,120003,
40520001,42.347542,-71.067344,120004,
40520001,42.347481,-71.067527,120005,
40520001,42.347464,-71.067673,120006,
40520001,42.347465,-71.067868,120007,
40520001,42.347546,-71.068647,120008,
40520001,42.347565,-71.068987,120009,
40520001,42.347583,-71.070204,120010,
40520001,42.347596,-71.071599,120011,
40520001,42.347588,-71.072294,120012,
