season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Fairmount,Fairmount Line,904,1,day_type_01,weekday,1/1/2024 6:30,South Station,9.0,0,63,0,15570
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:14,Four Corners/Geneva,6.0,6,1,37,15571
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:41,Talbot Avenue,5.0,6,2,47,15572
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:17,South Station,1.0,13,0,13,15573
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:17,Uphams Corner,7.0,4,1,40,15574
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:44,Four Corners/Geneva,6.0,4,2,49,15575
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:25,Newmarket,2.0,5,0,18,15576
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:19,Newmarket,8.0,4,3,41,15577
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:47,Uphams Corner,7.0,5,3,51,15578
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:27,Uphams Corner,3.0,2,1,19,15579
Fall 2024,CR-Fairmount,Fairmount Line,924,1,day_type_01,weekday,1/1/2024 11:30,South Station,9.0,0,40,1,15580
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 9:49,Newmarket,8.0,0,7,44,15581
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:30,Four Corners/Geneva,4.0,2,0,21,15582
Fall 2024,CR-Fairmount,Fairmount Line,927,0,day_type_01,weekday,1/1/2024 11:02,South Station,1.0,8,0,8,15583
Fall 2024,CR-Fairmount,Fairmount Line,918,1,day_type_01,weekday,1/1/2024 10:00,South Station,9.0,0,44,0,15584
Fall 2024,CR-Fairmount,Fairmount Line,927,0,day_type_01,weekday,1/1/2024 11:10,Newmarket,2.0,1,0,9,15585
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:33,Talbot Avenue,5.0,3,3,21,15586
Fall 2024,CR-Fairmount,Fairmount Line,919,0,day_type_01,weekday,1/1/2024 9:17,South Station,1.0,3,0,3,15587
Fall 2024,CR-Fairmount,Fairmount Line,907,0,day_type_01,weekday,1/1/2024 6:36,Morton Street,6.0,1,5,17,15588
