stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
A3798,6158,Loring Ave @ Maple Ave,,42.487158,-70.899901,LocalBus,https://www.mbta.com/stops/6158,0,,1
A3799,6159,Loring Ave @ Chandler Rd,,42.488340,-70.898483,LocalBus,https://www.mbta.com/stops/6159,0,,1
A426,616,Washington St @ Grove St,,42.261233,-71.157252,LocalBus,https://www.mbta.com/stops/616,0,,1
A3800,6160,Opp 494 Loring Ave,,42.488997,-70.897698,LocalBus,https://www.mbta.com/stops/6160,0,,1
A3801,6161,Opp 446 Loring Ave,,42.490025,-70.896420,LocalBus,https://www.mbta.com/stops/6161,0,,1
A6356,61618,460 Washington St opp George St,,42.198505,-71.198283,LocalBus,https://www.mbta.com/stops/61618,0,,1
A3802,6162,Loring Ave opp Riverview St,,42.491186,-70.894967,LocalBus,https://www.mbta.com/stops/6162,0,,1
A3803,6163,Loring Ave @ Leggs Hill Rd,,42.492091,-70.893249,LocalBus,https://www.mbta.com/stops/6163,0,,1
A3804,6164,Loring Ave @ Lincoln Rd,,42.493886,-70.892927,LocalBus,https://www.mbta.com/stops/6164,0,,1
A3805,6165,Loring Ave @ Grant Rd,,42.495959,-70.894994,LocalBus,https://www.mbta.com/stops/6165,0,,1
A3806,6166,Loring Ave @ Monroe Rd,,42.497371,-70.894900,LocalBus,https://www.mbta.com/stops/6166,0,,1
A3807,6167,Loring Ave @ Sumner Rd,,42.498191,-70.894903,LocalBus,https://www.mbta.com/stops/6167,0,,1
A3808,6168,Loring Ave opp Jefferson Ave,,42.499932,-70.895754,LocalBus,https://www.mbta.com/stops/6168,0,,1
A3809,6169,Loring Ave @ Raymond Rd,,42.501600,-70.894923,LocalBus,https://www.mbta.com/stops/6169,0,,1
A3810,6170,Loring Ave @ Rainbow Terr,,42.502632,-70.893544,LocalBus,https://www.mbta.com/stops/6170,0,,1
A3811,6171,Opp 352 Lafayette St,,42.505500,-70.890697,LocalBus,https://www.mbta.com/stops/6171,0,,1
A3812,6173,Lafayette St @ Clifton Ave,,42.506883,-70.891000,LocalBus,https://www.mbta.com/stops/6173,0,,1
A3813,6174,Lafayette St @ Ocean Ave,,42.508201,-70.891236,LocalBus,https://www.mbta.com/stops/6174,0,,1
A3814,6175,Lafayette St @ Willow Ave,,42.509572,-70.891490,LocalBus,https://www.mbta.com/stops/6175,0,,1
A3815,6176,Lafayette St @ Leach St,,42.511050,-70.891772,LocalBus,https://www.mbta.com/stops/6176,0,,1
A3816,6177,Lafayette St @ Saltonstall Pkwy,,42.512725,-70.892090,LocalBus,https://www.mbta.com/stops/6177,0,,1
A3817,6178,Lafayette St @ Palmer St,,42.515362,-70.892584,LocalBus,https://www.mbta.com/stops/6178,0,,1
A427,618,Washington St opp Rockland Towers,,42.258554,-71.160671,LocalBus,https://www.mbta.com/stops/618,0,,1
A3818,6180,Lafayette St @ Harbor St,,42.517502,-70.892975,LocalBus,https://www.mbta.com/stops/6180,0,,1
A3819,6181,New Derby St @ Klopp Alley,,42.519619,-70.894720,LocalBus,https://www.mbta.com/stops/6181,0,,1
A6357,61835,Clyde St opp Country Rd,,42.314210,-71.142439,LocalBus,https://www.mbta.com/stops/61835,0,,1
A6358,61842,Washington St @ Riverwalk Ln,,42.161876,-71.216043,LocalBus,https://www.mbta.com/stops/61842,0,,1
A6359,61848,Washington St @ Morse St,,42.171325,-71.209502,LocalBus,https://www.mbta.com/stops/61848,0,,1
A6360,61851,Washington St @ Saint George Ave,,42.177908,-71.205970,LocalBus,https://www.mbta.com/stops/61851,0,,1
A6361,61852,Highland Ave @ May St,,42.282926,-71.236174,LocalBus,https://www.mbta.com/stops/61852,0,,1
A6362,61857,Washington St @ Guild St,,42.191262,-71.202370,LocalBus,https://www.mbta.com/stops/61857,0,,1
A6363,61866,Washington St @ Dedham Plaza,,42.240573,-71.179396,LocalBus,https://www.mbta.com/stops/61866,0,,1
A6364,61867,Washington St @ Metcalf St,,42.243360,-71.176993,LocalBus,https://www.mbta.com/stops/61867,0,,0
A6365,61872,Washington St @ Oak St,,42.257212,-71.161892,LocalBus,https://www.mbta.com/stops/61872,0,,1
A428,619,Washington St @ Rockland Towers,,42.258509,-71.160255,LocalBus,https://www.mbta.com/stops/619,0,,1
A6366,61916,Lee St @ Sears Rd,,42.318332,-71.140678,LocalBus,https://www.mbta.com/stops/61916,0,,1
A50,62,Washington St @ Williams St,,42.332045,-71.081738,ExpressBus-Downtown,https://www.mbta.com/stops/62,0,,1
A429,620,Washington St @ Birchwood St,,42.259247,-71.159317,LocalBus,https://www.mbta.com/stops/620,0,,1
A3820,6201,Park Ave @ Wollaston Ave,,42.423114,-71.183600,LocalBus,https://www.mbta.com/stops/6201,0,,0
A3821,6202,Park Ave @ Appleton St,,42.421252,-71.182991,LocalBus,https://www.mbta.com/stops/6202,0,,0
A3822,6203,Park Ave @ Florence Ave,,42.419298,-71.182060,LocalBus,https://www.mbta.com/stops/6203,0,,0
A3823,6204,Park Ave @ Oakland Ave,,42.417700,-71.180753,LocalBus,https://www.mbta.com/stops/6204,0,,0
A3824,6206,Main St @ Pierce Memorial Dr,,42.464681,-71.022868,LocalBus,https://www.mbta.com/stops/6206,0,,0
A3825,6207,Main St @ Kennedy Dr,,42.464483,-71.021391,LocalBus,https://www.mbta.com/stops/6207,0,,0
A3826,6208,Main St @ Vine St,,42.464335,-71.018868,LocalBus,https://www.mbta.com/stops/6208,0,,1
A430,621,Washington St @ Grove St,,42.261087,-71.157076,LocalBus,https://www.mbta.com/stops/621,0,,1
A3827,6212,Central St @ Columbus Ave,,42.464136,-71.009918,LocalBus,https://www.mbta.com/stops/6212,0,,1
A3828,6213,329 Central St opp Jasper St,,42.463015,-71.009658,LocalBus,https://www.mbta.com/stops/6213,0,,1
A3829,6216,Park Ave @ Prospect Ave,,42.415496,-71.180446,LocalBus,https://www.mbta.com/stops/6216,0,,1
A3830,6218,Park Ave @ Cedar Ave,,42.412495,-71.181987,LocalBus,https://www.mbta.com/stops/6218,0,,0
A431,622,Washington St @ Desoto Rd,,42.262756,-71.155382,LocalBus,https://www.mbta.com/stops/622,0,,1
A432,623,Washington St @ Ridgecrest Dr,,42.263523,-71.154519,LocalBus,https://www.mbta.com/stops/623,0,,1
A3831,6230,Central St @ Jasper St,,42.462849,-71.009496,LocalBus,https://www.mbta.com/stops/6230,0,,1
A433,624,Washington St @ Woodley Ave,,42.265986,-71.151799,LocalBus,https://www.mbta.com/stops/624,0,,1
A434,625,Washington St @ W Boundary Rd,,42.267639,-71.149908,LocalBus,https://www.mbta.com/stops/625,0,,1
A3832,6250,Malden St @ Stark Ave,,42.418082,-71.010681,LocalBus,https://www.mbta.com/stops/6250,0,,1
A3833,6251,Malden St @ Patriot Pkwy,,42.419010,-71.012032,LocalBus,https://www.mbta.com/stops/6251,0,,1
A3834,6252,Malden St @ Conant St,,42.419713,-71.013275,LocalBus,https://www.mbta.com/stops/6252,0,,1
A3835,6253,Malden St @ Newman St,,42.420105,-71.014046,LocalBus,https://www.mbta.com/stops/6253,0,,1
A3836,6254,Malden St @ Steeple St,,42.420494,-71.015176,LocalBus,https://www.mbta.com/stops/6254,0,,1
A3837,6255,Malden St @ Charger St,,42.420906,-71.016462,LocalBus,https://www.mbta.com/stops/6255,0,,1
A3838,6256,Malden St @ Gore Rd,,42.421518,-71.017169,LocalBus,https://www.mbta.com/stops/6256,0,,1
A3839,6257,Malden St @ Derby Rd,,42.423503,-71.017490,LocalBus,https://www.mbta.com/stops/6257,0,,1
A3840,6258,Malden St @ Keayne St,,42.424618,-71.018841,LocalBus,https://www.mbta.com/stops/6258,0,,1
A3841,6259,Malden St @ Stevens St,,42.425729,-71.020199,LocalBus,https://www.mbta.com/stops/6259,0,,1
A435,626,Washington St opp Maplewood St,,42.270058,-71.147107,LocalBus,https://www.mbta.com/stops/626,0,,1
A3842,6260,Malden St @ Washington Ave,,42.427110,-71.022307,LocalBus,https://www.mbta.com/stops/6260,0,,1
A3843,6262,Washington Ave opp Brookdale St,,42.430221,-71.022687,LocalBus,https://www.mbta.com/stops/6262,0,,1
A3844,6267,Northgate Shopping Ctr - Shopping Mall,,42.427770,-71.011751,LocalBus,https://www.mbta.com/stops/6267,0,,1
A3845,6269,Washington Ave @ Brookdale St,,42.429941,-71.022668,LocalBus,https://www.mbta.com/stops/6269,0,,1
A436,627,Washington St opp Cowing St,,42.271706,-71.145032,LocalBus,https://www.mbta.com/stops/627,0,,1
A3846,6271,Malden St @ Lucia Ave,,42.426862,-71.022113,LocalBus,https://www.mbta.com/stops/6271,0,,1
A3847,6272,Malden St @ Geneva St,,42.425642,-71.020263,LocalBus,https://www.mbta.com/stops/6272,0,,1
A3848,6274,Malden St opp Derby Rd,,42.423190,-71.017441,LocalBus,https://www.mbta.com/stops/6274,0,,1
A3849,6275,Malden St @ Roland Rd,,42.421713,-71.017300,LocalBus,https://www.mbta.com/stops/6275,0,,1
A3850,6277,Malden St @ Kingman Av,,42.420385,-71.015148,LocalBus,https://www.mbta.com/stops/6277,0,,1
A3851,6278,Malden St @ South St,,42.419996,-71.014047,LocalBus,https://www.mbta.com/stops/6278,0,,1
