timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,timetable_label,service_notes,direction_label,orientation,start_time,end_time
3819,10738,0,20250629,20250831,0,0,0,0,0,1,0,BEACH EXPRESS,Saturday only,Outbound,horizontal,,
3820,10738,1,20250629,20250831,0,0,0,0,0,1,0,BEACH EXPRESS,Saturday only,Inbound,horizontal,,
3823,10737,0,20250105,20250628,1,1,1,1,1,0,0,LAWRENCE CROSSTOWN,Weekday,Loop,horizontal,,
3827,10739,1,20250105,20250628,1,1,1,1,1,0,0,IRS/RAYTHEON (NUKES & TAXES),Weekday,Inbound,horizontal,,
3828,10739,0,20250105,20250628,1,1,1,1,1,0,0,IRS/RAYTHEON (NUKES & TAXES),Weekday,Outbound,horizontal,,
5193,10740,1,20250105,20250628,1,1,1,1,1,0,0,BEACON STREET SPECIAL,Weekday,Inbound,horizontal,,
5194,10740,0,20250105,20250628,1,1,1,1,1,0,0,BEACON STREET SPECIAL,Weekday,Outbound,horizontal,,
5950,76156,0,20250105,20250628,1,0,0,1,0,0,0,BUTTONWOODS EXPRESS,MTh,Outbound,horizontal,,
5951,76156,1,20250105,20250628,1,0,0,1,0,0,0,BUTTONWOODS EXPRESS,MTh,Inbound,horizontal,,
6028,76299,1,20250105,20250628,1,1,1,1,1,0,0,SALISBURY BEACH VIA AMESBURY,Weekday,Inbound,horizontal,,
6029,76299,1,20250105,20250628,0,0,0,0,0,1,0,SALISBURY BEACH VIA AMESBURY,Saturday only,Inbound,horizontal,,
6030,76299,0,20250105,20250628,1,1,1,1,1,0,0,SALISBURY BEACH VIA AMESBURY,Weekday,Outbound,horizontal,,
6031,76299,0,20250105,20250628,0,0,0,0,0,1,0,SALISBURY BEACH VIA AMESBURY,Saturday only,Outbound,horizontal,,
6032,76300,1,20250105,20250628,1,1,1,1,1,0,0,AMESBURY/COSTELLO,Weekday,Inbound,horizontal,,
6033,76300,1,20250105,20250628,0,0,0,0,0,1,0,AMESBURY/COSTELLO,Saturday only,Inbound,horizontal,,
6034,76300,0,20250105,20250628,1,1,1,1,1,0,0,AMESBURY/COSTELLO,Weekday,Outbound,horizontal,,
6035,76300,0,20250105,20250628,0,0,0,0,0,1,0,AMESBURY/COSTELLO,Saturday only,Outbound,horizontal,,
6036,76301,1,20250105,20250628,1,1,1,1,1,0,0,SALISBURY BEACH,Weekday,Inbound,horizontal,,
