route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
220,3-Weekday,d18696d2-3-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,000b86a1-d-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,e8ea17ac-4-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,723081bd-e-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,13c6a0ff-6-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,4c333864-c-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,9ee24a67-c-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,b55be144-7-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,4890c581-3-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,ea064e07-c-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,75b59c24-9-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,2f24ff03-6-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,33611b0e-3-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,e4f8649a-1-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,deadf818-b-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,6d0e50ac-c-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,13d165d2-2-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,d60b51c4-1-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,0aea82ca-e-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,3494f206-6-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,4fb7b2b3-e-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,ab9209c7-d-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,93d85bc0-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,f1062a0f-a-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,8bdcbd06-6-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,5a9a0413-8-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,3325b0fb-2-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,36d7cd8b-3-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,576e6094-f-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,330b7504-a-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,ad806a80-7-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,ea2ab285-2-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,c02ad0c7-2-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,4ff952b7-a-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,3c04eae2-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,124d8ac9-f-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,5208a840-7-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,265aec9b-f-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,279b1242-7-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,4c115e86-4-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,94ec8a30-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,4a709f89-6-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,53732913-8-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,dd8ecdcb-c-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,bd789501-0-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,baac260c-6-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,8de561a0-7-be4e481e-6,,,1,,1155036275,0,0
220,3-Weekday,2dfd2123-d-be4e481e-6,,,0,,1155036274,0,0
220,3-Weekday,9468b2e2-c-be4e481e-6,,,1,,1155036275,0,0
220,1-Sunday,30166bd0-e-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,679d110e-f-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,d1cfb4ab-7-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,cfc52fc4-2-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,40c58623-e-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,26c28165-5-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,a9d19483-e-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,86cd2263-d-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,f2af0fd3-8-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,066e316b-c-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,749461cc-b-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,50cc073b-1-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,9da18e3e-e-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,18d32868-2-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,f632c852-5-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,35b65b13-3-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,cf17a5fe-1-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,4230d4db-0-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,f8d0153a-d-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,30e965a1-3-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,76bb252b-6-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,0a8def61-3-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,67cfbd2d-d-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,331383da-7-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,98a036f5-1-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,967e206b-c-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,fe0fb98f-a-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,8ca3d8d1-8-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,73cd7d6b-4-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,fc22b5ce-8-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,2f875a07-2-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,0f290f8d-7-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,14e27dfc-5-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,c1899150-b-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,5e6f82ab-e-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,1e8a3864-6-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,0ab21157-7-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,57a6211f-e-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,0be1dccb-9-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,444f3a40-a-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,50eaabff-3-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,84fd4e51-0-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,11c7d26c-6-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,3058c7b3-a-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,7afbba7a-5-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,c1330ad1-7-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,0fca5531-5-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,3554ae39-0-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,041a946e-2-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,007cc2b0-8-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,813e8a22-6-0fb10047-c,,,0,,1155036274,0,0
220,1-Sunday,0393edb2-d-0fb10047-c,,,1,,1155036275,0,0
220,1-Sunday,629b973a-3-0fb10047-c,,,0,,1155036274,0,0
