shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2991078972285,-71.3738825246026,26,5930.61
282f6ac8-99bc-4444-b489-cbde762f9cb5,42.2932714100642,-71.4609376466833,13,5787.34
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.2838823368479,-71.4125908263082,16,2636.79
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2979612528063,-71.4138957210717,46,10186.84
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2903062278215,-71.3524047346356,13,3180.26
1f7032ca-1182-45a2-9627-770580c1aca9,42.2951033589306,-71.3497815340627,6,1476.85
334cc08f-6be8-4345-8a47-456b7f0f94b3,42.3366762600348,-71.6255823746671,8,2943.38
f2ac62e3-4e8b-448f-abe5-23dee4a34dd7,42.2904430204894,-71.3549380812012,72,17448.81
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2890885048562,-71.3506921440776,12,2985
580edf11-7d54-490b-8fac-edaeb138b110,42.2753260895804,-71.4151939103123,38,17306.96
791bd6d1-4ac1-4d09-a490-cf416b365e04,42.2989053904358,-71.378746710941,83,23012.6
a4343a34-dbe1-4155-8e64-098298f2e552,42.2910773629592,-71.4883565299724,18,9795.26
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2984319805164,-71.4072170202266,45,9635.43
a06bbebf-63e8-446f-ad75-7896c1113b38,42.2730287774222,-71.4273912565345,32,23327.2
87a2315d-d10b-433b-bdf3-bee2f5d841c3,42.3465736118897,-71.5508023828746,4,503.2
dd03bd27-6fae-4482-950d-30eb0a26dd79,42.2884058826212,-71.4095934575554,17,3196.59
116c48b8-ccc9-4391-ac93-d38c3ed825a9,42.2817674149136,-71.4152904698426,89,13442.6
a4343a34-dbe1-4155-8e64-098298f2e552,42.2954346117636,-71.4475359885416,42,16564.86
1f7032ca-1182-45a2-9627-770580c1aca9,42.2979666172246,-71.3477953581688,3,843.71
6ad13089-7874-4511-94fc-2e65506ae49c,42.29773,-71.43723,19,4594.01
7873e67f-97ec-4a6e-a398-1b17ebe07afd,42.2574142967113,-71.4256035641196,38,16174.45
1a530520-83f4-4a7e-850b-5296d1b72aff,42.348942002591,-71.5245153918574,8,3216.75
792fe5fe-01b8-4b19-ba95-775c2e0a66cd,42.2992044567588,-71.3669785181867,23,5346.09
1f7032ca-1182-45a2-9627-770580c1aca9,42.2988825916578,-71.4270372049235,41,9409.24
2627a0fb-f03a-47b7-a044-5ce4fa08245f,42.2907005125702,-71.3929637606718,9,2786.29
6ad13089-7874-4511-94fc-2e65506ae49c,42.3345211049629,-71.5415876532547,41,16597.14
8a3c1ae9-3e65-4167-828e-c0e15f7307f3,42.1436390068316,-71.5131320961196,34,19972.55
