25027~02749 ,      2675,   0.00040
25027~2958B ,      2689,   0.00078
25027~2958B ,      2697,   0.98938
25027~2748A ,      2679,   1.00000
25027~2748A ,      2689,   0.00039
25027~2748A ,      2690,   0.00086
25027~2747A ,      2673,   1.00000
25027~2747A ,      2682,   0.00322
25027~2747A ,      2695,   0.00063
25027~2747B ,      2682,   0.99494
25027~2747B ,      2691,   0.00061
25027~2747B ,      2695,   0.00314
25027~02957 ,      2555,   0.00040
25027~02957 ,      2529,   0.98942
25027~02957 ,      2554,   0.99914
25027~02957 ,      2694,   0.27338
25027~2748B ,      2690,   0.99914
25027~2748B ,      2691,   0.01100
25027~02735 ,      2647,   0.00039
25027~02735 ,      2677,   0.99859
25027~02745 ,      2672,   0.99942
25027~02737 ,      2627,   1.00000
25027~02737 ,      2684,   0.00103
25027~02737 ,      2658,   0.00031
25027~02737 ,      2683,   1.00000
25027~02737 ,      2677,   0.00035
25027~02737 ,      2704,   0.00100
25027~02737 ,      2685,   0.00359
25027~02813 ,      2628,   1.00000
25027~02813 ,      2629,   1.00000
25027~02813 ,      2630,   1.00000
25027~02883 ,      2705,   0.99958
25027~02883 ,      2681,   0.99651
25027~02883 ,      2702,   1.00000
25027~02883 ,      2707,   1.00000
25027~02882 ,      2608,   1.00000
25027~02882 ,      2698,   0.00084
25027~02882 ,      2705,   0.00042
25027~02882 ,      2699,   0.00314
25027~02882 ,      2681,   0.00058
25027~02882 ,      2609,   0.99961
25027~02882 ,      2610,   1.00000
25027~02882 ,      2706,   0.98874
25027~02886 ,      2704,   0.99900
25027~02886 ,      2685,   0.99641
25027~02886 ,      2700,   1.00000
25027~02886 ,      2698,   0.00591
25027~02886 ,      2701,   1.00000
25027~02886 ,      2699,   0.99686
25027~02886 ,      2681,   0.00291
25027~02886 ,      2706,   0.01126
25027~02884 ,      2658,   0.99969
25027~02884 ,      2653,   1.00000
25027~02884 ,      2703,   1.00000
25027~02884 ,      2709,   0.99893
25027~02885 ,      2709,   0.00107
25027~02885 ,      2698,   0.99324
25027~02709 ,      2652,   1.00000
25027~02709 ,      2636,   1.00000
25027~02709 ,      2634,   0.00032
25027~02709 ,      2708,   0.99867
25027~02711 ,      2635,   0.00040
25027~02711 ,      2634,   0.99937
25027~02711 ,      2523,   0.00081
25027~02711 ,      2708,   0.00133
25027~02712 ,      2523,   0.99879
25027~02710 ,      2523,   0.00040
25027~02710 ,      2524,   0.00037
25027~02710 ,      2604,   0.00142
25027~02710 ,      2605,   0.99922
25027~02710 ,      2606,   1.00000
25027~02710 ,      2710,   1.00000
25027~02750 ,      2620,   0.91449
25027~02750 ,      2619,   0.00082
25027~02869 ,      2726,   1.00000
25027~02869 ,      2620,   0.08188
25027~02869 ,      2619,   0.99918
25027~02869 ,      2631,   1.00000
25027~02869 ,      2632,   1.00000
25027~02869 ,      2651,   1.00000
25027~02924 ,      2624,   1.00000
25027~02923 ,      2626,   0.99968
25027~02923 ,      2656,   1.00000
25027~02923 ,      2724,   1.00000
25027~02923 ,      2727,   0.00053
25027~02925 ,      2717,   0.01755
25027~02925 ,      2718,   0.99958
25027~02925 ,      2730,   1.00000
25027~02927 ,      2727,   0.99947
25027~02927 ,      2728,   1.00000
25027~02927 ,      2729,   1.00000
25027~02926 ,      2657,   1.00000
25027~02926 ,      2717,   0.00169
25027~02928 ,      2717,   0.98076
25027~02928 ,      2718,   0.00042
25027~02715 ,      2574,   0.99947
25027~02715 ,      2646,   1.00000
25027~02715 ,      2662,   0.00217
25027~02881 ,      2649,   1.00000
25027~02881 ,      2574,   0.00053
25027~02896 ,      2712,   0.99956
25027~02894 ,      2532,   1.00000
25027~02894 ,      2711,   0.00795
25027~02816 ,      2626,   0.00032
25027~02816 ,      2654,   1.00000
25027~02816 ,      2721,   1.00000
25027~02816 ,      2655,   0.00032
25027~02816 ,      2725,   1.00000
25027~02812 ,      2655,   0.99968
25027~02812 ,      2747,   0.99966
25005~0286C ,      3257,   0.98988
25005~0286C ,      3261,   0.00053
25005~00445 ,      3250,   1.00000
25005~00445 ,      3251,   0.00324
25005~00471 ,      3293,   1.00000
25005~00471 ,      5071,   0.00063
25005~00469 ,      3294,   1.00000
25005~00470 ,      3291,   0.00073
25005~00470 ,      3292,   0.99915
25005~00476 ,      3287,   1.00000
25005~00476 ,      3291,   0.99927
25005~00476 ,      3292,   0.00085
25005~00302 ,      3259,   0.99948
25005~00302 ,      5421,   0.00087
25005~00301 ,      3267,   0.99008
25005~00301 ,      3268,   0.05599
25005~00472 ,      3290,   1.00000
25005~00472 ,      3288,   0.96899
25005~00472 ,      3289,   0.99363
25005~00285 ,      3268,   0.93261
25005~00285 ,      3286,   0.00051
25005~00292 ,      3265,   1.00000
25005~00292 ,      3267,   0.00992
25005~00292 ,      3266,   0.00040
25005~0300A ,      3260,   0.00582
25005~0300A ,      3263,   0.99357
25005~00507 ,      3197,   0.00039
25005~00507 ,      3194,   0.99934
25005~00507 ,      3196,   0.42339
25005~00507 ,      3206,   0.00342
25005~00521 ,      3219,   0.00339
25005~00521 ,      3206,   0.99145
25005~00497 ,      3219,   0.99661
25005~00497 ,      3220,   0.01752
25005~00497 ,      3207,   0.01597
25005~00497 ,      3206,   0.00470
25005~00463 ,      3192,   0.00042
25005~00463 ,      3193,   0.99628
25005~00463 ,      3222,   0.01115
25005~00463 ,      3206,   0.00043
25005~00461 ,      3192,   0.00042
25005~00461 ,      3190,   0.98781
25005~00461 ,      3188,   0.00492
25005~00461 ,      3191,   1.00000
25005~00314 ,      3516,   0.92802
25005~00314 ,      3408,   0.00030
25005~00307 ,      3510,   0.00041
25005~00307 ,      3540,   0.74327
25005~00313 ,      3510,   0.99959
25005~00313 ,      3508,   0.00051
25005~00317 ,      3504,   0.00356
25005~00317 ,      3502,   1.00000
25005~00318 ,      3503,   0.28841
25005~00318 ,      3540,   0.25673
25005~00306 ,      3500,   0.00033
25005~00306 ,      3503,   0.70909
25005~00308 ,      3505,   0.00164
25005~00308 ,      3500,   0.99199
25005~00308 ,      3503,   0.00250
25005~00315 ,      3511,   0.00035
25005~00315 ,      3517,   0.89450
25005~00311 ,      3508,   0.00051
25005~00311 ,      3515,   1.00000
25005~00311 ,      3511,   0.76780
25005~00311 ,      3512,   0.00158
25005~00310 ,      3508,   0.99899
25005~00310 ,      3507,   0.00049
25005~00310 ,      3506,   1.00000
25005~00312 ,      3513,   0.87343
25005~00312 ,      3512,   0.70947
25005~00312 ,      3514,   0.77809
25005~00420 ,      3488,   0.84515
25005~00420 ,      3485,   0.99940
25005~00414 ,      3495,   0.70813
25005~00414 ,      3499,   0.80137
25005~00414 ,      3498,   0.75164
25005~00406 ,      3491,   0.00034
25005~00406 ,      3496,   0.73045
25005~00406 ,      3494,   0.04236
25005~00406 ,      3495,   0.00071
25005~00417 ,      3493,   0.49081
25005~00417 ,      3494,   0.72407
25005~00316 ,      3500,   0.00767
25005~00316 ,      3447,   0.00040
25005~00316 ,      3501,   1.00000
25005~00316 ,      3509,   1.00000
25005~00316 ,      3507,   0.00049
25005~00309 ,      3507,   0.99902
25005~00424 ,      3446,   0.00091
25005~00424 ,      3447,   0.48742
25005~00424 ,      3483,   1.00000
25005~00424 ,      3468,   0.00029
25005~00423 ,      3446,   0.00501
25005~00423 ,      3447,   0.51219
25005~00422 ,      3464,   0.00030
25005~00422 ,      3468,   0.99971
25005~00422 ,      3466,   0.99972
25005~00422 ,      3467,   0.99970
25005~00422 ,      3465,   1.00000
25005~00421 ,      3464,   0.99941
25005~00421 ,      3463,   0.00051
25005~00419 ,      3448,   0.99924
25005~00419 ,      3461,   0.00031
25005~00416 ,      3446,   0.36703
25005~00427 ,      3421,   1.00000
25005~00427 ,      3422,   0.00172
25005~00413 ,      3446,   0.62705
25005~00413 ,      3445,   0.00039
25005~00413 ,      3444,   0.00080
25005~00413 ,      3448,   0.00038
25005~00412 ,      3445,   0.99961
25005~00407 ,      3482,   0.00028
25005~00407 ,      3486,   1.00000
25005~00407 ,      3484,   0.00085
25005~00407 ,      3485,   0.00060
25023~02328 ,      3584,   0.77188
25023~02328 ,      3582,   0.01639
25023~02330 ,      3584,   0.01725
25023~02330 ,      3583,   1.00000
25023~02330 ,      3581,   0.00063
25023~02330 ,      3585,   0.00042
25023~02330 ,      2511,   0.00443
25023~02181 ,      3575,   1.00000
25023~02181 ,      3576,   1.00000
25023~02181 ,      3574,   0.99954
25023~02180 ,      3573,   1.00000
25023~02180 ,      2506,   0.00097
25023~02298 ,      2501,   0.27345
25023~02298 ,      2504,   0.31993
25023~02298 ,      2502,   1.00000
25023~02298 ,      2503,   0.17178
25023~02298 ,      2500,   0.00080
25023~02297 ,      2506,   0.46512
25023~02297 ,      2509,   0.18368
25023~02297 ,      2508,   0.43006
25023~02297 ,      2518,   0.01035
25023~02297 ,      2507,   0.26267
25023~02296 ,      2504,   0.08437
25023~02296 ,      2505,   0.14183
25023~02296 ,      2503,   0.60784
25023~02295 ,      2506,   0.17216
25023~02295 ,      2504,   0.59570
25023~02295 ,      2505,   0.85459
25023~02295 ,      2512,   0.00053
25023~02295 ,      2498,   0.00142
25023~02295 ,      2507,   0.23355
25023~02294 ,      2506,   0.36176
25023~02294 ,      2507,   0.50379
25023~02293 ,      2505,   0.00358
25023~02293 ,      2496,   0.36572
25001~00045 ,      3694,   1.00000
25001~00045 ,      3628,   0.00063
25001~00044 ,      3626,   0.99892
25001~00046 ,      3628,   0.99810
25001~00046 ,      3626,   0.00108
25001~00043 ,      3628,   0.00063
25001~00043 ,      3627,   0.99815
25001~00041 ,      3629,   0.00405
25001~00041 ,      3695,   1.00000
25001~00049 ,      3629,   0.92557
25023~02327 ,      3587,   0.86761
25023~02327 ,      3586,   0.40651
25023~02325 ,      3588,   0.75038
25023~02325 ,      3587,   0.00042
25023~02334 ,      3582,   0.98361
25023~02334 ,      2511,   0.00089
25001~00034 ,      3692,   1.00000
25001~00040 ,      3691,   0.99834
25001~00039 ,      3691,   0.00166
25001~00039 ,      3693,   0.99919
25001~00038 ,      3588,   0.00076
25001~00038 ,      2511,   0.00044
25001~00038 ,      3690,   1.00000
25001~00038 ,      3693,   0.00081
25023~02291 ,      2509,   0.14004
25023~02291 ,      2510,   0.22214
25023~02291 ,      2511,   0.99424
25001~00037 ,      3629,   0.07039
25001~00037 ,      3649,   0.53109
25001~00037 ,      3630,   0.01083
25001~00037 ,      3627,   0.00185
25001~00148 ,      3659,   0.00581
25001~00148 ,      3651,   0.03545
25001~00148 ,      3649,   0.41478
25001~00148 ,      3665,   0.00389
25001~00148 ,      3650,   0.11579
25023~02301 ,      2510,   0.32091
25023~02301 ,      2521,   0.00044
25001~00036 ,      3662,   1.00000
25001~00042 ,      3660,   0.99875
25001~00035 ,      3660,   0.00042
25001~00035 ,      3661,   0.99947
25023~02280 ,      2509,   0.48767
25023~02280 ,      2508,   0.26799
25023~02288 ,      2498,   0.98442
25023~02288 ,      2513,   0.00416
25023~02288 ,      2497,   0.62691
25021~01905 ,      2321,   0.00348
25021~01905 ,      2322,   0.29499
25021~01905 ,      2323,   0.00033
25021~01905 ,      2324,   0.98786
25021~01905 ,      2325,   0.00087
25021~01902 ,      2327,   0.96678
25021~01902 ,      2325,   0.99782
25021~01902 ,      2326,   0.04866
