Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A5733&T,Wyman St @ Winter St,1,0,0,0,1
MBTA,A6908&T,South St @ Bedford S,0,0,0,0,0
MBTA,A904&T,Arsenal St opp Louis,23,0,0,0,23
MBTA,A906&T,Arsenal St opp Beaco,2,0,0,0,3
MBTA,A1299&T,Concord Ave @ Edgemo,0,0,0,0,0
MBTA,A1392&T,Massachusetts Ave @,26,0,0,0,26
MBTA,A1418&T,East Service Rd @ Pl,18,0,0,90,107
MBTA,A1420&T,Brighton St @ Cross,0,0,0,0,0
MBTA,A3830&T,Park Ave @ Cedar Ave,0,0,0,0,0
MBTA,A3985&T,Common St opp Middle,0,0,0,0,0
MBTA,A4560&T,Lake St @ Seminole A,1,0,0,0,1
MBTA,A4637&T,Bedford St @ Hartwel,2,0,0,0,3
MBTA,A4714&T,Watertown St opp Mor,0,0,0,0,0
MBTA,A4773&T,Mystic St @ Old Myst,0,0,0,0,0
MBTA,A4778&T,144 Mystic St opp Ra,2,0,0,0,2
MBTA,A4984&T,Massachusetts Ave @,0,0,0,0,0
MBTA,A5023&T,Main St @ Copeland S,81,0,0,0,81
MBTA,A5484&T,Broadway @ N Union S,267,0,0,0,267
MBTA,A5865&T,Pleasant St @ Pelham,0,0,0,0,0
MBTA,A5866&T,Pleasant St @ Irving,0,0,0,0,0
MBTA,A6774&T,135 Beaver St,7,0,0,0,7
MBTA,A6778&T,Hartwell Ave @ Westv,0,0,0,0,0
MBTA,A6783&T,Summer st @ Forest S,0,0,0,0,0
MBTA,A1039&T,Mystic St @ Garden S,0,0,0,0,0
MBTA,A1537&T,Lake St @ Pleasant S,80,1,0,26,107
MBTA,A1538&T,Lake St @ Albert Ave,0,0,0,0,0
MBTA,A1539&T,Lake St @ Rt 2 East,41,0,0,0,41
MBTA,A4558&T,Lincoln St opp Graym,0,0,0,0,0
MBTA,A4605&T,Crescent St @ Maple,42,0,0,0,42
MBTA,A4662&T,Washington St @ Moun,12,0,0,0,12
MBTA,A4663&T,Clyde Terr @ Lawrenc,0,0,0,0,0
MBTA,A4667&T,Forest St @ Sunset R,26,0,0,0,26
MBTA,A4967&T,Wood St @ Schilling,14,0,0,0,14
MBTA,A5804&T,Totten Pond Rd opp W,0,0,0,0,0
MBTA,A5895&T,375 Acorn Park Dr,0,0,0,0,0
MBTA,A613&T,Galen St @ Maple St,9,0,0,26,35
MBTA,A6708&T,South St @ Russell S,0,0,0,0,0
MBTA,A6728&T,Moody St @ Pine St,21,0,0,0,21
MBTA,A6901&T,Main St @ Liberty St,1,0,1,0,1
MBTA,A1291&T,Trapelo Rd @ Slade S,51,0,0,0,51
MBTA,A1391&T,Massachusetts Ave @,8,0,0,0,8
MBTA,A1433&T,West Service Rd @ Ve,18,0,0,6,25
