Agency,Stop_ID,Station_Name,WLK,KNR,PNR,XFR,ALL
MBTA,A2066&T,Palmer St opp Wilgus,0,0,0,0,0
MBTA,A2083&T,Copeland St opp Furn,7,0,0,0,7
MBTA,A2087&T,Willard St @ Rogers,0,0,0,0,0
MBTA,A2088&T,Willard St @ Roberts,34,0,0,0,34
MBTA,A2090&T,Robertson St @ Conne,0,0,0,0,0
MBTA,A2138&T,Copeland St @ Cross,24,0,0,0,24
MBTA,A2142&T,38 Copeland St,0,0,0,0,0
MBTA,A2344&T,Quincy Ave opp Faxon,5,0,0,0,5
MBTA,A2346&T,Quincy Ave opp Water,29,0,0,0,29
MBTA,A2352&T,Quincy Ave @ Water S,0,0,0,0,0
MBTA,A2394&T,Franklin St opp Pear,0,0,0,27,27
MBTA,A2587&T,West St @ Centre St,4,0,0,0,4
MBTA,A2648&T,Reedsdale Rd @ Acade,49,0,0,0,49
MBTA,A392&T,River St @ Newcroft,1,0,0,0,1
MBTA,A5972&T,Newport Ave @ Herita,10,0,0,0,10
MBTA,A1025&T,Centre St @ Granite,4,0,0,0,4
MBTA,A2020&T,Sea St @ Bell St,0,0,0,0,0
MBTA,A2024&T,Sea St @ Bay View Av,0,0,0,0,0
MBTA,A2032&T,Sea St @ Manet Ave,0,0,0,0,0
MBTA,A2133&T,Willard St opp Roger,0,0,0,0,0
MBTA,A2136&T,Copeland St opp Badg,0,0,0,0,0
MBTA,A2151&T,Hancock St @ Cottage,57,0,0,57,114
MBTA,A2153&T,McGrath Hwy @ Bracke,0,0,0,0,0
MBTA,A2190&T,Washington St @ Glen,0,0,0,1,1
MBTA,A2278&T,236 Washington St op,0,0,0,0,0
MBTA,A2395&T,Franklin St @ Presid,5,0,0,1,6
MBTA,A2583&T,West St opp Hayden S,0,0,0,1,1
MBTA,A390&T,River St opp Duxbury,0,0,0,0,0
MBTA,A6137&T,Centre St @ Liberty,3,0,0,0,3
MBTA,A1903&T,Wilson Ave @ Harvard,0,0,0,0,0
MBTA,A1944&T,W Squantum St @ Mont,1,0,0,0,1
MBTA,A1954&T,Highland Ave @ N Cen,0,0,0,0,0
MBTA,A2016&T,Sea St @ Rockland St,0,0,0,0,0
MBTA,A2045&T,Coddington St @ Quin,10,0,0,0,10
MBTA,A2046&T,Palmer St @ Sea St,0,0,0,0,0
MBTA,A2074&T,Water St @ Lincoln H,0,0,0,0,0
MBTA,A2085&T,Willard St @ Copelan,0,0,0,0,0
MBTA,A2194&T,Washington St @ Beac,5,0,0,0,5
MBTA,A2477&T,Franklin St @ Pearl,5,0,0,31,36
MBTA,A2588&T,Centre St @ McDonald,0,0,0,3,3
MBTA,A397&T,River St @ Leahaven,129,0,0,0,129
MBTA,A5522&T,Newland St @ Huckins,0,0,0,0,0
MBTA,A6940&T,Hollis Ave @ Newbury,1,0,0,0,1
MBTA,A1086&T,Blue Hills Pkwy @ Ri,10,0,0,317,327
MBTA,A1840&T,Hancock St @ Billing,13,0,0,0,13
MBTA,A1860&T,Hancock St opp Saint,31,0,0,0,31
MBTA,A2025&T,Sea St @ Winthrop St,0,0,0,0,0
MBTA,A2044&T,Coddington St @ Sout,28,0,0,0,28
MBTA,A2075&T,Water St @ Quincy St,2,0,0,0,2
MBTA,A2081&T,Copeland St @ Furnac,7,0,0,0,7
MBTA,A2135&T,307 Willard St,0,0,0,0,0
MBTA,A2196&T,Washington St @ Chub,42,0,0,0,42
MBTA,A2279&T,Washington St @ Elm,0,0,0,7,7
MBTA,A303&T,Norfolk St @ Willoww,17,0,0,0,17
MBTA,A396&T,River St opp Newcrof,0,0,0,0,0
MBTA,A1925&T,Huckins Ave @ Standi,0,0,0,0,0
MBTA,A2148&T,Franklin St @ Water,18,0,0,11,30
MBTA,A2189&T,Washington St @ Lowe,4,0,0,0,4
MBTA,A2193&T,Washington St @ Ring,0,0,0,0,0
MBTA,A2342&T,Quincy Ave @ Charles,2,0,0,0,2
MBTA,A5525&T,Bryant Ave @ Upton S,19,0,0,0,19
MBTA,A1939&T,E Squantum St @ Thor,1,0,0,0,1
MBTA,A2029&T,Sea St @ Winthrop St,0,0,0,0,0
MBTA,A2031&T,Sea St @ Newton St,0,1,0,0,1
MBTA,A2079&T,Copeland St @ Buckle,0,0,0,3,3
MBTA,A2094&T,Adams St @ Washingto,2,0,0,0,2
MBTA,A2123&T,Adams St @ Mechanic,0,0,0,0,0
MBTA,A2144&T,Water St @ Roberts S,5,0,0,0,5
MBTA,A2392&T,South St opp Keating,0,0,0,0,0
